Ensembl_gene_id	Gene_symbol
ENSMMUG00000014601	Trp53
ENSMUSG00000017146	Brca1
ENSMUSG00000002413	Braf
ENSMUSG00000020122	Egfr
ENSMUSG00000041147	Brca2
ENSMUSG00000022510	Trp63
ENSMUSG00000022346	Myc
