Ensembl_gene_id	Gene_symbol
ENSG00000141510	TP53
ENSG00000012048	BRCA1
ENSG00000157764	BRAF
ENSG00000146648	EGFR
ENSG00000139618	BRCA2
ENSG00000073282	TP63
ENSG00000136997	MYC
