Ensembl_gene_id	Gene_symbol
ENSDARG00000035559	tp53
ENSDARG00000098242	brcc3
ENSDARG00000017661	braf
ENSDARG00000013847	egfra
ENSDARG00000079015	brca2
ENSDARG00000044356	tp63
ENSDARG00000101637	ccnd1
