Ensembl_gene_id	Gene_symbol
ENSMMUG00000008639	TP53
ENSMMUG00000001329	BRCA1
ENSMMUG00000042793	BRAF
ENSMMUG00000022394	EGFR
ENSMMUG00000007197	BRCA2
ENSMMUG00000016466	TP63
ENSMMUG00000014601	MYC
