gene1	gene2	connection_type	values
ENSG00000012048	ENSG00000139618	common_go_term	GO:0045893(IDA—IDA); GO:0045893(IMP—IDA)
ENSG00000012048	ENSG00000141510	common_go_term	GO:0045893(IMP—IMP); GO:0000077(IDA—IDA); GO:0006357(IMP—IGI); GO:0044773(IMP—IMP); GO:0044774(IMP—IMP); GO:0045892(IDA—IMP); GO:0045944(IDA—IDA); GO:0045893(IMP—IMP); GO:0000077(IDA—IDA); GO:0006357(IMP—IGI); GO:0044773(IMP—IMP); GO:0044774(IDA—IDA); GO:0045892(IMP—IGI); GO:0045944(IMP—IMP)
ENSG00000139618	ENSG00000141510	common_go_term	GO:0045893(IDA—IDA); GO:0045893(IDA—IGI); GO:0045893(IDA—IMP)
